video_id,title,published_at,views,likes,comments,duration,has_short_tag,url,engagement,engagement_rate
jjy64G5XFPc,4k Video !! Markandey Mahadev Temple Kaithi UP New Vlog video 📸 @rajraushanofficial02 #rajraushan ,2026-07-22 05:42:38+00:00,109,0,0,PT8M27S,False,https://www.youtube.com/watch?v=jjy64G5XFPc,0,0.0
9wH9xCDj6hY,New @rajraushanofficial02 channel,2026-07-21 15:53:58+00:00,48,0,0,PT17S,False,https://www.youtube.com/watch?v=9wH9xCDj6hY,0,0.0
WEzeNylv-No,💔🥺🤌 #rajraushanofficial #world,2026-07-20 13:20:03+00:00,591,0,0,PT45S,False,https://www.youtube.com/watch?v=WEzeNylv-No,0,0.0
DvFu9bN2hYg,#rajraushanofficial,2026-07-19 18:43:01+00:00,29,0,0,PT17S,False,https://www.youtube.com/watch?v=DvFu9bN2hYg,0,0.0
-qjHvq8Ml48,👆👆👆#train,2026-07-18 13:48:16+00:00,403,0,0,PT38S,False,https://www.youtube.com/watch?v=-qjHvq8Ml48,0,0.0
J7-xY5iiYec,🥺 2 साल की मेहनत... अब आपकी बारी! ❤️ | Please Support 🙏 !! #rajraushanofficial,2026-07-18 10:41:21+00:00,720,0,2,PT1M,False,https://www.youtube.com/watch?v=J7-xY5iiYec,2,0.28
pMS-D2r4JzA,Congratulations 🎉@Nomadikeraman,2026-07-17 10:07:16+00:00,27,0,4,PT1M20S,False,https://www.youtube.com/watch?v=pMS-D2r4JzA,4,14.81
I13MSxRElFI,4K HD#shorts 🥺🤌💔#rajraushanofficial #world #shorts,2026-07-16 13:00:18+00:00,864,0,0,PT30S,True,https://www.youtube.com/watch?v=I13MSxRElFI,0,0.0
Kxd2X4-Cgdo,4k Video 📸!! #rajraushanofficial #train #2026rajraushanofficial,2026-07-15 13:15:52+00:00,792,0,0,PT52S,False,https://www.youtube.com/watch?v=Kxd2X4-Cgdo,0,0.0
uKZC-OWUOOQ,4k Video Daily Vlog...... subscribe 🙂........ #rajraushanofficial ........,2026-07-14 15:15:00+00:00,26,0,0,PT34S,False,https://www.youtube.com/watch?v=uKZC-OWUOOQ,0,0.0
Wd8FXtsA-wI,💝 #rajraushanofficial,2026-07-13 16:45:17+00:00,902,0,0,PT28S,False,https://www.youtube.com/watch?v=Wd8FXtsA-wI,0,0.0
EeZnt3d8kgU,4k Short Video 📸 Travel # #rajraushanofficial #2026rajraushanofficial,2026-07-13 08:17:36+00:00,196,0,0,PT17S,False,https://www.youtube.com/watch?v=EeZnt3d8kgU,0,0.0
wNe7ozWYDfY,4k Video 📸 ! Karwandiya Railway Station 🚉 New Vlog video  2026 ❤️ ! #rajraushanofficial #travel #new,2026-07-12 07:09:47+00:00,90,0,0,PT6M23S,False,https://www.youtube.com/watch?v=wNe7ozWYDfY,0,0.0
qa_u-NZsGsk,4k HD Video 📸#india #rajraushanofficial #train,2026-07-11 15:13:43+00:00,1250,0,0,PT21S,False,https://www.youtube.com/watch?v=qa_u-NZsGsk,0,0.0
mAsE-yiYZgw,4k !! Wait for End 🔥🔥☠️🇮🇳#indianrailways # #rajraushanofficial #2026rajraushanofficial #train,2026-07-10 15:35:26+00:00,1231,0,2,PT34S,False,https://www.youtube.com/watch?v=mAsE-yiYZgw,2,0.16
hViweyRjkHE,4k HD Dog 🐕 shorts Video #rajraushanofficial,2026-07-09 16:25:02+00:00,860,0,0,PT26S,False,https://www.youtube.com/watch?v=hViweyRjkHE,0,0.0
wdU43SvLt1A,4k HD Video Vande Bharat 🇮🇳 # #rajraushanofficial,2026-07-09 12:46:37+00:00,1539,0,0,PT26S,False,https://www.youtube.com/watch?v=wdU43SvLt1A,0,0.0
xG1TpXeFU48,4k Short Video Daily Upload #rajraushanofficial #2026rajraushanofficial #2026 #travelvlog,2026-07-06 15:22:19+00:00,584,0,0,PT20S,False,https://www.youtube.com/watch?v=xG1TpXeFU48,0,0.0
aRi9gZKMWdU,4k Short video 📸 Daily upload #rajraushanofficial #2026 #2026rajraushanofficial #travel,2026-07-06 12:05:56+00:00,278,0,0,PT14S,False,https://www.youtube.com/watch?v=aRi9gZKMWdU,0,0.0
ev2Oc-qaCI4,4k Short Video 📸 Bharat 🇮🇳 #rajraushanofficial #travel #2026 #travelvlog #vlog #world #new,2026-07-05 14:03:39+00:00,333,0,0,PT54S,False,https://www.youtube.com/watch?v=ev2Oc-qaCI4,0,0.0
8kC7UIxthiE,#rajraushanofficial,2026-07-04 15:21:45+00:00,946,0,0,PT30S,False,https://www.youtube.com/watch?v=8kC7UIxthiE,0,0.0
bEZ5VOqlII8,June 2026Travel in Uttar Pradesh,2026-07-03 01:18:51+00:00,57,0,0,PT33S,False,https://www.youtube.com/watch?v=bEZ5VOqlII8,0,0.0
UqM76fvY034,#rajraushanofficial #train #2026 #travelvlog #world,2026-07-01 17:00:27+00:00,957,0,0,PT26S,False,https://www.youtube.com/watch?v=UqM76fvY034,0,0.0
OktYY2aDfqk,#rajraushanofficial,2026-06-30 18:42:05+00:00,133,0,0,PT43S,False,https://www.youtube.com/watch?v=OktYY2aDfqk,0,0.0
FnMWZY5xQQk,4k Video !! Varanasi Vlog 2026 😍UP | My Beautiful Journey in Kashi | Ganga Aarti | Banaras Vibes |🚩,2026-06-29 04:29:26+00:00,84,0,3,PT8M11S,False,https://www.youtube.com/watch?v=FnMWZY5xQQk,3,3.57
otmiZol5msY,"I Want to Fly, Fall, and Rise Again | The Most Powerful Motivation to Never Give Up | #world",2026-06-28 13:32:47+00:00,424,0,0,PT42S,False,https://www.youtube.com/watch?v=otmiZol5msY,0,0.0
Ct791DFr-6s,#rajraushanofficial,2026-06-28 08:43:59+00:00,154,0,0,PT23S,False,https://www.youtube.com/watch?v=Ct791DFr-6s,0,0.0
Ol_FeCvFLyg,Train 🇮🇳,2026-06-26 18:07:14+00:00,75,0,2,PT26S,False,https://www.youtube.com/watch?v=Ol_FeCvFLyg,2,2.67
blrZld-DR-8,Sukoon #2026 #travel #vlog #viral #shorts #youtubeshorts #rajraushanofficial #travelvlog #world,2026-06-26 14:07:22+00:00,2621,0,2,PT34S,True,https://www.youtube.com/watch?v=blrZld-DR-8,2,0.08
R-eGjooameQ,Sarved Mahamandir Banaras | 4K Ultra HD Temple Tour | Varanasi Travel Vlog | Amazing Architecture,2026-06-26 04:12:03+00:00,42,0,0,PT11M32S,False,https://www.youtube.com/watch?v=R-eGjooameQ,0,0.0
cnUluS4I61s,#rajraushanofficial #vlog #2026rajraushanofficial,2026-06-25 15:58:42+00:00,45,0,0,PT59S,False,https://www.youtube.com/watch?v=cnUluS4I61s,0,0.0
TSjOzChRFzQ,🏛️ Sarnath Museum Tour | Discover the History of Buddha | Uttar Pradesh Travel Vlog,2026-06-25 10:32:54+00:00,58,0,0,PT4M40S,False,https://www.youtube.com/watch?v=TSjOzChRFzQ,0,0.0
VOfkzyrbu_U,INDIAN TRAIN 🇮🇳,2026-06-25 04:08:56+00:00,3069,0,0,PT23S,False,https://www.youtube.com/watch?v=VOfkzyrbu_U,0,0.0
NrixE67JQ5w,👆 Click my new vlog #2026rajraushanofficial,2026-06-24 13:50:01+00:00,702,0,0,PT38S,False,https://www.youtube.com/watch?v=NrixE67JQ5w,0,0.0
sCPqHM3SXKM,#shorts #travel #viral #ytshorts #rajraushanofficial,2026-06-20 12:02:17+00:00,862,0,2,PT13S,True,https://www.youtube.com/watch?v=sCPqHM3SXKM,2,0.23
0DE4hSmFj-w,🏰 Ramnagar Fort Varanasi HD Vlog | 4K Cinematic Tour | Hidden Heritage of Kashi😱#rajraushanofficial,2026-06-19 12:53:22+00:00,60,0,0,PT13M38S,False,https://www.youtube.com/watch?v=0DE4hSmFj-w,0,0.0
mgleO7HmWBA,#rajraushanofficial,2026-06-19 11:02:13+00:00,648,0,0,PT38S,False,https://www.youtube.com/watch?v=mgleO7HmWBA,0,0.0
Z6Zc1vtokNg,Aaiye na hamara Bihar mein🥰😁 #travel,2026-06-18 15:58:20+00:00,853,0,0,PT50S,False,https://www.youtube.com/watch?v=Z6Zc1vtokNg,0,0.0
sl-4dnJ1ZKo,Travel New video 📸,2026-06-17 18:41:16+00:00,871,0,0,PT25S,False,https://www.youtube.com/watch?v=sl-4dnJ1ZKo,0,0.0
xI4M_k6ng1Q,Amazing Travel Experience | Raj Raushan Official #rajraushanofficial #travel #2026rajraushanofficial,2026-06-17 09:03:45+00:00,817,0,0,PT20S,False,https://www.youtube.com/watch?v=xI4M_k6ng1Q,0,0.0
pNpBNyBnZ5o,Kashi Banaras Uttar Pradesh,2026-06-16 15:51:22+00:00,905,0,0,PT20S,False,https://www.youtube.com/watch?v=pNpBNyBnZ5o,0,0.0
v3Mdzycu2_0,Sarnath Deer 🦌 Park Vlog New Video 📸 2026 #rajraushanofficial #travel #2026rajraushanofficial ,2026-06-15 11:59:22+00:00,31,0,2,PT10M25S,False,https://www.youtube.com/watch?v=v3Mdzycu2_0,2,6.45
GGdQI_I8psk,SARNATH  Dhamek Stupa !! Uttar Pradesh 😍 !! Vlog video 📸 Travel video New !! #2026 #new ,2026-06-12 11:57:55+00:00,78,0,0,PT12M53S,False,https://www.youtube.com/watch?v=GGdQI_I8psk,0,0.0
tD4hw7G5HH4,Rani Lakshmibai🚩,2026-06-12 09:18:34+00:00,1274,0,0,PT29S,False,https://www.youtube.com/watch?v=tD4hw7G5HH4,0,0.0
eg8Q-1vJ6W8,Namo Namah Ghat,2026-06-12 03:31:07+00:00,838,0,0,PT30S,False,https://www.youtube.com/watch?v=eg8Q-1vJ6W8,0,0.0
tx8TGxeHg5M,Ramnagar Fort !! #rajraushanofficial,2026-06-11 15:38:35+00:00,228,0,0,PT28S,False,https://www.youtube.com/watch?v=tx8TGxeHg5M,0,0.0
7eUK9IiyIu8,Kashi 🔱🕉️🚩,2026-06-11 03:57:16+00:00,283,0,0,PT40S,False,https://www.youtube.com/watch?v=7eUK9IiyIu8,0,0.0
fz4LnYk-Z70,"Ramnagar Fort , Varanasi #rajraushanofficial #2026rajraushanofficial #travel #2026",2026-06-10 16:09:53+00:00,267,0,0,PT45S,False,https://www.youtube.com/watch?v=fz4LnYk-Z70,0,0.0
9oCEmBKKmg8,Kashi #rajraushanofficial #2026 #travel,2026-06-10 11:54:13+00:00,72,0,0,PT55S,False,https://www.youtube.com/watch?v=9oCEmBKKmg8,0,0.0
iuGZH6JUMto,Travel Short video 📸🦩🪿🦆🦢🦤 #travel #rajraushanofficial #2026 #nature,2026-06-09 16:11:20+00:00,245,0,2,PT31S,False,https://www.youtube.com/watch?v=iuGZH6JUMto,2,0.82
k0zrO1dIMqU,Sarnath Deer 🦌 Park Shorts video,2026-06-09 07:35:11+00:00,479,0,0,PT28S,False,https://www.youtube.com/watch?v=k0zrO1dIMqU,0,0.0
